"Tabela 1554 - Pessoas de 10 anos ou mais de idade, por nível de instrução - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Nível de instrução"
"Município","Ano","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo","Não determinado"
"Marabá (PA)","2010","185156","103399","33850","40096","6568","1243"
"Maracanã (PA)","2010","22371","16021","3667","2249","285","149"
"Marapanim (PA)","2010","21444","13891","3967","3257","279","51"
"Marituba (PA)","2010","88136","41382","21261","23049","2148","297"
"Medicilândia (PA)","2010","21678","16429","3095","1811","172","172"
"Melgaço (PA)","2010","17488","15848","757","670","190","24"
"Mocajuba (PA)","2010","20392","14344","2818","2765","391","74"
"Moju (PA)","2010","53321","40216","7313","4972","617","204"
"Monte Alegre (PA)","2010","43776","30048","6969","5845","822","92"
"Muaná (PA)","2010","25961","19342","4132","2257","212","17"
"Nova Esperança do Piriá (PA)","2010","15008","12121","1595","894","258","140"
"Nova Ipixuna (PA)","2010","11517","8491","1619","968","200","239"
"Nova Timboteua (PA)","2010","11267","7503","1795","1766","153","49"
"Novo Progresso (PA)","2010","20160","12955","3735","2787","639","44"
"Novo Repartimento (PA)","2010","47605","36515","6433","3841","673","143"
"Óbidos (PA)","2010","37788","26016","5979","5161","476","155"
"Oeiras do Pará (PA)","2010","20489","16840","1888","1464","267","30"
"Oriximiná (PA)","2010","47557","30817","7599","7564","1319","258"
"Ourém (PA)","2010","12965","9434","1816","1541","159","15"
"Ourilândia do Norte (PA)","2010","21641","14230","3378","3252","560","220"
"Pacajá (PA)","2010","30879","24371","3420","2507","391","191"
"Palestina do Pará (PA)","2010","5900","4142","877","812","66","3"
"Paragominas (PA)","2010","76343","48044","13067","12609","2411","212"
"Parauapebas (PA)","2010","122067","58200","25499","33370","4421","577"
"Pau D'Arco (PA)","2010","4903","3524","615","610","115","40"
"Peixe-Boi (PA)","2010","6409","4462","924","898","92","33"
"Piçarra (PA)","2010","9989","7696","1163","892","169","68"
"Placas (PA)","2010","18296","13619","2476","1760","190","250"
"Ponta de Pedras (PA)","2010","20140","14429","3264","1923","395","129"
"Portel (PA)","2010","36518","30782","2949","2138","599","50"
"Porto de Moz (PA)","2010","24330","19639","2576","1511","540","65"
"Prainha (PA)","2010","21788","17335","2377","1602","381","92"
"Primavera (PA)","2010","8322","6025","1161","1029","107","-"
"Quatipuru (PA)","2010","9801","7468","1389","770","123","51"
"Redenção (PA)","2010","61296","36430","12108","10541","2166","51"
"Rio Maria (PA)","2010","14567","9825","2450","1902","384","5"
"Rondon do Pará (PA)","2010","38161","26731","6211","4107","995","117"
"Rurópolis (PA)","2010","31154","23032","4685","2815","543","80"
"Salinópolis (PA)","2010","30149","18260","6490","4893","484","22"
"Salvaterra (PA)","2010","16085","10515","2942","2280","337","11"
"Santa Bárbara do Pará (PA)","2010","13792","8324","2584","2652","190","42"
"Santa Cruz do Arari (PA)","2010","6643","4502","1293","748","78","22"
"Santa Izabel do Pará (PA)","2010","49010","28081","9498","10123","1216","92"
"Santa Luzia do Pará (PA)","2010","15285","11453","1763","1842","199","28"
"Santa Maria das Barreiras (PA)","2010","13753","10716","1662","1006","254","115"
"Santa Maria do Pará (PA)","2010","18830","13151","2909","2399","291","80"
"Santana do Araguaia (PA)","2010","44738","28649","9349","5672","888","180"
"Santarém (PA)","2010","234565","117476","47970","56901","11025","1193"
"Santarém Novo (PA)","2010","4829","3251","930","594","41","13"
"Santo Antônio do Tauá (PA)","2010","21447","13084","3895","3979","413","77"
"São Caetano de Odivelas (PA)","2010","13634","9464","2082","1947","90","52"
"São Domingos do Araguaia (PA)","2010","18130","12428","3038","2333","317","15"
"São Domingos do Capim (PA)","2010","22087","17100","2408","2180","346","53"
"São Félix do Xingu (PA)","2010","73982","50052","14955","7611","898","466"
"São Francisco do Pará (PA)","2010","12355","8143","2051","1964","139","58"
"São Geraldo do Araguaia (PA)","2010","20455","14587","2475","2582","611","199"
"São João da Ponta (PA)","2010","4134","2782","713","575","58","6"
"São João de Pirabas (PA)","2010","16372","12800","2151","1278","143","-"
"São João do Araguaia (PA)","2010","10279","7662","1403","940","140","135"
"São Miguel do Guamá (PA)","2010","40483","28426","6308","4882","740","127"
"São Sebastião da Boa Vista (PA)","2010","17381","12397","2744","2056","143","40"
"Sapucaia (PA)","2010","4076","3074","528","395","80","-"
