"Tabela 1554 - Pessoas de 10 anos ou mais de idade, por nível de instrução - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Nível de instrução"
"Município","Ano","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo","Não determinado"
"Paraíso do Tocantins (TO)","2010","36981","16324","7097","10721","2658","181"
"Paranã (TO)","2010","8271","6029","817","943","363","118"
"Pau D'Arco (TO)","2010","3769","2392","662","571","138","5"
"Pedro Afonso (TO)","2010","9560","4532","1606","2645","726","50"
"Peixe (TO)","2010","8575","5433","1332","1192","356","261"
"Pequizeiro (TO)","2010","4133","2944","529","527","132","-"
"Colméia (TO)","2010","7284","4658","884","1193","462","87"
"Pindorama do Tocantins (TO)","2010","3614","2472","437","543","157","5"
"Piraquê (TO)","2010","2388","1643","317","340","83","4"
"Pium (TO)","2010","5450","3420","918","914","187","11"
"Ponte Alta do Bom Jesus (TO)","2010","3736","2682","466","455","133","-"
"Ponte Alta do Tocantins (TO)","2010","5769","3682","874","952","251","9"
"Porto Alegre do Tocantins (TO)","2010","2260","1421","335","425","79","-"
"Porto Nacional (TO)","2010","40489","18582","7204","11117","3495","91"
"Praia Norte (TO)","2010","5857","4077","864","761","151","3"
"Presidente Kennedy (TO)","2010","2990","1865","452","521","148","5"
"Pugmil (TO)","2010","1862","1129","385","292","56","-"
"Recursolândia (TO)","2010","2849","2211","270","288","79","-"
"Riachinho (TO)","2010","3357","2350","420","456","127","3"
"Rio da Conceição (TO)","2010","1352","834","212","248","56","2"
"Rio dos Bois (TO)","2010","2092","1414","295","297","85","-"
"Rio Sono (TO)","2010","5104","3541","676","696","191","-"
"Sampaio (TO)","2010","2948","1837","494","509","90","17"
"Sandolândia (TO)","2010","2740","1754","330","467","173","17"
"Santa Fé do Araguaia (TO)","2010","5255","3458","939","610","201","47"
"Santa Maria do Tocantins (TO)","2010","2338","1499","332","370","115","21"
"Santa Rita do Tocantins (TO)","2010","1726","1100","280","269","78","-"
"Santa Rosa do Tocantins (TO)","2010","3618","2518","548","404","149","-"
"Santa Tereza do Tocantins (TO)","2010","2035","1276","296","363","99","-"
"Santa Terezinha do Tocantins (TO)","2010","2009","1271","290","375","73","-"
"São Bento do Tocantins (TO)","2010","3590","2371","578","494","100","47"
"São Félix do Tocantins (TO)","2010","1103","775","127","150","51","-"
"São Miguel do Tocantins (TO)","2010","8187","5146","1473","1433","136","-"
"São Salvador do Tocantins (TO)","2010","2380","1621","288","329","134","7"
"São Sebastião do Tocantins (TO)","2010","3345","2263","704","298","56","24"
"São Valério (TO)","2010","3596","2251","838","372","135","-"
"Silvanópolis (TO)","2010","4162","2517","620","838","181","7"
"Sítio Novo do Tocantins (TO)","2010","7315","4903","983","1139","195","95"
"Sucupira (TO)","2010","1411","850","200","274","82","7"
"Taguatinga (TO)","2010","12333","8350","1593","1806","504","80"
"Taipas do Tocantins (TO)","2010","1554","1125","165","197","65","2"
"Talismã (TO)","2010","2134","1305","370","368","84","7"
"Palmas (TO)","2010","188631","64134","31552","65126","26307","1512"
"Tocantínia (TO)","2010","5029","3404","554","902","161","8"
"Tocantinópolis (TO)","2010","18251","9807","3297","4015","1132","-"
"Tupirama (TO)","2010","1289","822","193","218","56","-"
"Tupiratins (TO)","2010","1726","1359","156","146","57","9"
"Wanderlândia (TO)","2010","8968","5509","1275","1683","359","142"
"Xambioá (TO)","2010","9464","5543","1620","1800","450","50"
"Açailândia (MA)","2010","83056","48938","15673","15474","2588","382"
"Afonso Cunha (MA)","2010","4430","3424","538","314","117","38"
"Água Doce do Maranhão (MA)","2010","9160","7609","911","490","100","49"
"Alcântara (MA)","2010","17552","11898","2708","2560","351","35"
"Aldeias Altas (MA)","2010","18194","14606","1987","1413","157","32"
"Altamira do Maranhão (MA)","2010","8813","6281","1194","1050","206","83"
"Alto Alegre do Maranhão (MA)","2010","19262","14365","2857","1713","254","73"
"Alto Alegre do Pindaré (MA)","2010","23815","17624","3344","2216","318","313"
"Alto Parnaíba (MA)","2010","8462","6018","1065","1123","248","9"
"Amapá do Maranhão (MA)","2010","4850","3747","584","402","117","-"
"Amarante do Maranhão (MA)","2010","28355","20935","4137","2672","493","119"
"Anajatuba (MA)","2010","20534","14513","3103","2610","258","50"
"Anapurus (MA)","2010","10783","7204","1956","1446","160","18"
"Apicum-Açu (MA)","2010","11849","8367","2091","1145","175","71"
"Araguanã (MA)","2010","10799","7866","1727","1112","89","4"
"Araioses (MA)","2010","33762","26791","3803","2216","598","355"
"Arame (MA)","2010","23689","18803","2564","1820","416","86"
"Arari (MA)","2010","23083","15016","4061","3618","361","27"
"Axixá (MA)","2010","9034","5102","1705","1893","278","55"
"Bacabal (MA)","2010","80722","47840","13182","17038","2592","71"
"Bacabeira (MA)","2010","11799","7160","2481","1926","202","31"
"Bacuri (MA)","2010","13380","9480","2220","1286","358","35"
"Bacurituba (MA)","2010","4262","3147","600","474","41","-"
"Balsas (MA)","2010","66366","36651","12753","13189","3588","185"
"Barão de Grajaú (MA)","2010","14885","10119","2358","1972","365","72"
"Barra do Corda (MA)","2010","66037","45569","9915","8500","1802","251"
"Barreirinhas (MA)","2010","41092","29979","6332","3919","732","131"
"Belágua (MA)","2010","4677","3480","619","525","41","13"
"Bela Vista do Maranhão (MA)","2010","9436","7038","1308","959","130","-"
"Benedito Leite (MA)","2010","4528","3450","568","447","60","4"
"Bequimão (MA)","2010","16642","10706","2782","2875","196","83"
"Bernardo do Mearim (MA)","2010","4889","3333","678","755","112","12"
"Boa Vista do Gurupi (MA)","2010","5921","4338","817","559","129","77"
"Bom Jardim (MA)","2010","30068","23428","3622","2348","440","230"
"Bom Jesus das Selvas (MA)","2010","21748","16069","3786","1412","259","221"
"Bom Lugar (MA)","2010","11678","8315","1863","1260","120","120"
"Brejo (MA)","2010","25759","19028","3189","2871","516","156"
"Brejo de Areia (MA)","2010","4299","3417","442","286","68","86"
"Buriti (MA)","2010","20413","14973","2734","2178","226","302"
"Buriti Bravo (MA)","2010","18056","13092","2640","1852","450","22"
"Buriticupu (MA)","2010","49129","36361","7978","4089","431","271"
"Buritirana (MA)","2010","11546","8036","1817","1504","153","37"
"Cachoeira Grande (MA)","2010","6329","4661","863","682","109","14"
"Cajapió (MA)","2010","8317","5720","1262","1192","126","16"
"Cajari (MA)","2010","14079","10671","1937","1332","120","19"
"Campestre do Maranhão (MA)","2010","10572","6538","2155","1728","146","5"
"Cândido Mendes (MA)","2010","14485","10459","2241","1490","248","47"
"Cantanhede (MA)","2010","16086","11337","2368","1946","382","54"
"Capinzal do Norte (MA)","2010","8642","6485","982","871","204","99"
"Carolina (MA)","2010","19298","12438","3086","2982","679","113"
"Carutapera (MA)","2010","17157","12208","2869","1714","325","41"
"Caxias (MA)","2010","124924","79143","18232","22867","4481","202"
"Cedral (MA)","2010","8339","5318","1474","1329","190","28"
"Central do Maranhão (MA)","2010","6061","4057","1071","886","37","10"
"Centro do Guilherme (MA)","2010","9667","7013","1416","1063","96","79"
"Centro Novo do Maranhão (MA)","2010","13128","10317","1675","917","183","36"
"Chapadinha (MA)","2010","57343","38369","8416","9344","1107","106"
"Cidelândia (MA)","2010","10723","7417","1623","1382","199","103"
"Codó (MA)","2010","93352","65076","12518","13461","2098","199"
"Coelho Neto (MA)","2010","36572","26532","4412","4603","914","113"
"Colinas (MA)","2010","31069","21482","4746","4074","717","50"
"Conceição do Lago-Açu (MA)","2010","10687","8699","1030","569","172","217"
"Coroatá (MA)","2010","48841","35469","6589","5458","1106","219"
"Cururupu (MA)","2010","26370","17823","4272","3587","489","198"
"Davinópolis (MA)","2010","9947","6445","1787","1557","149","9"
"Dom Pedro (MA)","2010","18331","12143","3142","2503","415","128"
"Duque Bacelar (MA)","2010","8088","6042","1096","812","127","11"
"Esperantinópolis (MA)","2010","14801","10253","2327","1796","349","76"
"Estreito (MA)","2010","28888","17316","5555","4897","874","247"
"Feira Nova do Maranhão (MA)","2010","6399","4887","850","549","110","4"
"Fernando Falcão (MA)","2010","6931","6027","516","297","55","38"
"Formosa da Serra Negra (MA)","2010","14072","10203","1939","1579","294","57"
"Fortaleza dos Nogueiras (MA)","2010","9327","6082","1571","1255","270","149"
"Fortuna (MA)","2010","11832","8490","1401","1493","403","45"
"Godofredo Viana (MA)","2010","8517","5459","1562","1320","154","23"
"Gonçalves Dias (MA)","2010","13949","10495","1815","1235","357","47"
"Governador Archer (MA)","2010","8159","6022","941","985","195","17"
"Governador Edison Lobão (MA)","2010","12551","8114","2411","1813","188","24"
"Governador Eugênio Barros (MA)","2010","12562","9310","1777","1221","236","18"
"Governador Luiz Rocha (MA)","2010","5854","4375","702","652","110","15"
"Governador Newton Bello (MA)","2010","9113","7197","1159","684","54","20"
"Governador Nunes Freire (MA)","2010","19262","13563","3070","1709","396","523"
"Graça Aranha (MA)","2010","5051","3687","678","545","81","60"
"Grajaú (MA)","2010","47820","33482","7528","5482","1026","302"
"Guimarães (MA)","2010","9890","5922","1853","1782","262","71"
"Humberto de Campos (MA)","2010","19168","14347","2966","1497","257","102"
"Icatu (MA)","2010","19503","14296","2671","2053","347","135"
"Igarapé do Meio (MA)","2010","9624","6617","1695","1100","205","6"
"Igarapé Grande (MA)","2010","9042","6041","1341","1406","238","16"
"Imperatriz (MA)","2010","205148","92526","40526","60293","11412","391"
"Itaipava do Grajaú (MA)","2010","10808","8401","1564","717","73","54"
"Itapecuru Mirim (MA)","2010","49138","32637","7407","7958","935","201"
"Itinga do Maranhão (MA)","2010","19710","12965","3622","2436","536","151"
"Jatobá (MA)","2010","6625","4893","882","676","101","73"
"Jenipapo dos Vieiras (MA)","2010","11537","9099","1399","858","163","17"
"João Lisboa (MA)","2010","16472","10159","2974","2937","361","42"
"Joselândia (MA)","2010","12237","9391","1408","1098","224","116"
"Junco do Maranhão (MA)","2010","3146","2340","336","360","83","27"
"Lago da Pedra (MA)","2010","36769","25907","5752","4318","624","168"
"Lago do Junco (MA)","2010","8491","6067","1170","973","272","9"
"Lago Verde (MA)","2010","11735","8663","1511","1228","211","122"
"Lagoa do Mato (MA)","2010","8813","6533","1138","963","164","14"
"Lago dos Rodrigues (MA)","2010","6307","4339","908","959","97","4"
"Lagoa Grande do Maranhão (MA)","2010","7976","6628","648","495","97","108"
"Lajeado Novo (MA)","2010","5542","3910","900","642","80","9"
"Lima Campos (MA)","2010","9293","6688","1260","1145","199","-"
"Loreto (MA)","2010","9207","6529","1394","1094","170","20"
"Luís Domingues (MA)","2010","5188","3428","856","769","131","3"
"Magalhães de Almeida (MA)","2010","14097","9830","1894","2081","240","52"
"Maracaçumé (MA)","2010","14660","10119","2377","1936","169","61"
"Marajá do Sena (MA)","2010","5982","5217","433","229","72","31"
"Maranhãozinho (MA)","2010","11431","8004","1871","1346","198","12"
"Mata Roma (MA)","2010","11588","7929","1811","1776","72","-"
"Matinha (MA)","2010","17542","11073","2797","3253","418","-"
"Matões (MA)","2010","23811","18504","2665","2184","379","80"
"Matões do Norte (MA)","2010","10841","8108","1413","1084","228","8"
"Milagres do Maranhão (MA)","2010","6095","4872","671","465","78","9"
"Mirador (MA)","2010","16154","12132","2033","1641","303","45"
"Miranda do Norte (MA)","2010","20004","12167","3235","4012","423","168"
"Mirinzal (MA)","2010","11339","6940","1997","2034","294","74"
"Monção (MA)","2010","24170","17543","4095","2105","339","88"
"Montes Altos (MA)","2010","7460","5100","1063","1144","149","5"
"Morros (MA)","2010","13597","9519","1898","1862","300","18"
"Nina Rodrigues (MA)","2010","9281","6004","1618","1413","235","11"
"Nova Colinas (MA)","2010","3816","2761","552","409","80","13"
"Nova Iorque (MA)","2010","3735","2689","496","409","141","-"
"Nova Olinda do Maranhão (MA)","2010","15150","10649","2378","1916","203","4"
"Olho d'Água das Cunhãs (MA)","2010","15211","10844","2111","1764","434","59"
"Olinda Nova do Maranhão (MA)","2010","10332","6908","1766","1506","147","5"
"Paço do Lumiar (MA)","2010","87273","31016","16404","35680","3756","415"
"Palmeirândia (MA)","2010","15004","10721","2371","1684","117","111"
"Paraibano (MA)","2010","16544","11972","2436","1667","444","24"
"Parnarama (MA)","2010","26982","21232","2725","2664","319","42"
"Passagem Franca (MA)","2010","13959","11167","1294","1214","247","37"
"Pastos Bons (MA)","2010","14374","9435","2302","1968","343","327"
"Paulino Neves (MA)","2010","10884","7632","1977","997","272","6"
"Paulo Ramos (MA)","2010","15737","12107","1770","1537","262","61"
"Pedreiras (MA)","2010","32333","18472","5433","7312","1088","27"
"Pedro do Rosário (MA)","2010","16860","12877","2416","1336","212","18"
"Penalva (MA)","2010","26530","18976","3821","3400","260","74"
"Peri Mirim (MA)","2010","11287","7267","1979","1934","107","-"
"Peritoró (MA)","2010","16486","12297","2128","1674","256","131"
"Pindaré-Mirim (MA)","2010","24581","14732","4422","4738","593","95"
"Pinheiro (MA)","2010","63495","39250","10949","11397","1707","193"
"Pio XII (MA)","2010","17391","13506","1884","1494","415","92"
"Pirapemas (MA)","2010","13314","9156","2109","1689","355","5"
"Poção de Pedras (MA)","2010","16086","11693","2269","1587","349","188"
"Porto Franco (MA)","2010","17518","10111","3033","3503","841","30"
"Porto Rico do Maranhão (MA)","2010","4860","3146","850","733","125","6"
"Presidente Dutra (MA)","2010","36650","22685","5854","6365","1485","262"
"Presidente Juscelino (MA)","2010","8633","5776","1148","1414","134","161"
"Presidente Médici (MA)","2010","5037","3264","923","713","129","7"
"Presidente Sarney (MA)","2010","13138","9816","2059","1083","133","47"
"Presidente Vargas (MA)","2010","8158","5332","1283","1378","161","4"
"Primeira Cruz (MA)","2010","10490","8243","1098","969","135","46"
"Raposa (MA)","2010","21040","12602","3954","4049","352","83"
"Riachão (MA)","2010","16156","12033","2479","1214","275","155"
"Ribamar Fiquene (MA)","2010","5760","3807","1079","732","87","54"
"Rosário (MA)","2010","31855","18589","5353","7231","606","77"
"Sambaíba (MA)","2010","4382","3222","635","436","80","9"
"Santa Filomena do Maranhão (MA)","2010","5516","4377","706","391","38","3"
"Santa Helena (MA)","2010","30700","21673","4275","4104","549","99"
"Santa Inês (MA)","2010","62335","35273","10837","13723","2211","291"
"Santa Luzia (MA)","2010","56593","42104","7476","5670","937","406"
"Santa Luzia do Paruá (MA)","2010","17940","11998","3174","2392","289","89"
"Santa Quitéria do Maranhão (MA)","2010","22264","16289","2739","2795","350","89"
"Santa Rita (MA)","2010","25974","16654","4581","4159","412","169"
"Santana do Maranhão (MA)","2010","9180","7337","1219","575","49","-"
"Santo Amaro do Maranhão (MA)","2010","10401","8036","1335","869","115","46"
"Santo Antônio dos Lopes (MA)","2010","11592","8378","1535","1197","404","78"
"São Benedito do Rio Preto (MA)","2010","13291","9966","1418","1733","114","60"
"São Bento (MA)","2010","33691","20956","6060","5983","513","180"
"São Bernardo (MA)","2010","20629","14775","3199","2123","489","42"
"São Domingos do Azeitão (MA)","2010","5442","3850","663","737","103","90"
"São Domingos do Maranhão (MA)","2010","26844","19089","4101","2898","715","41"
"São Félix de Balsas (MA)","2010","3833","2889","447","412","75","8"
"São Francisco do Brejão (MA)","2010","8025","5611","1369","862","122","61"
"São Francisco do Maranhão (MA)","2010","9890","7930","968","810","150","32"
"São João Batista (MA)","2010","16048","9927","2761","2939","277","145"
"São João do Carú (MA)","2010","9188","7309","1098","732","42","8"
"São João do Paraíso (MA)","2010","8629","5617","1563","1246","202","-"
"São João do Soter (MA)","2010","13056","10558","1441","821","148","89"
"São João dos Patos (MA)","2010","20565","13800","3885","2254","626","-"
"São José de Ribamar (MA)","2010","134474","55230","26520","46491","5528","704"
"São José dos Basílios (MA)","2010","6017","4387","831","707","52","41"
"São Luís (MA)","2010","862993","294139","157768","321297","84349","5440"
"São Luís Gonzaga do Maranhão (MA)","2010","15927","12097","1969","1452","309","101"
"São Mateus do Maranhão (MA)","2010","31065","21509","4819","4090","491","156"
"São Pedro da Água Branca (MA)","2010","9353","6533","1286","1286","188","60"
"São Pedro dos Crentes (MA)","2010","3565","2407","608","466","81","3"
"São Raimundo das Mangabeiras (MA)","2010","14059","9473","2321","1850","367","49"
"São Raimundo do Doca Bezerra (MA)","2010","4774","3757","547","383","64","23"
"São Roberto (MA)","2010","4672","3734","440","415","66","17"
"São Vicente Ferrer (MA)","2010","16769","10637","3230","2613","266","21"
"Satubinha (MA)","2010","9107","7421","1021","607","57","-"
"Senador Alexandre Costa (MA)","2010","7998","6071","934","856","137","-"
"Senador La Rocque (MA)","2010","14122","9835","2067","1697","406","116"
"Serrano do Maranhão (MA)","2010","8303","6324","1157","733","61","27"
"Sítio Novo (MA)","2010","13605","9719","1989","1327","302","269"
"Sucupira do Norte (MA)","2010","8337","5864","1205","1086","162","19"
"Sucupira do Riachão (MA)","2010","3758","2856","472","362","60","8"
"Tasso Fragoso (MA)","2010","6016","4333","914","639","98","32"
