"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Medicilândia (PA)","2021","232","230","2154","1913","1749.04","55066","2.2","2421.80"
"Melgaço (PA)","2021","64","63","1121","1062","1401.48","52651","2.6","2889.84"
"Mocajuba (PA)","2021","144","142","2298","2168","1987.52","62698","2.2","2426.61"
"Moju (PA)","2021","420","415","10603","10160","9357.62","228917","1.7","1881.78"
"Mojuí dos Campos (PA)","2021","156","155","1549","1367","1232.94","33220","1.9","2072.62"
"Monte Alegre (PA)","2021","396","372","3586","3143","3054.03","86601","2.0","2181.26"
"Muaná (PA)","2021","99","97","1263","1182","1436.84","44052","2.1","2358.38"
"Nova Esperança do Piriá (PA)","2021","98","98","1355","1250","1194.80","35490","2.1","2284.90"
"Nova Ipixuna (PA)","2021","107","107","1087","974","1050.60","33232","2.2","2433.20"
"Nova Timboteua (PA)","2021","92","91","1050","946","906.04","21828","1.7","1853.20"
"Novo Progresso (PA)","2021","1012","995","4945","3785","4138.35","126691","2.1","2354.91"
"Novo Repartimento (PA)","2021","627","610","5152","4453","4316.49","125297","2.0","2232.89"
"Óbidos (PA)","2021","376","358","4796","4466","4005.94","121575","2.1","2334.52"
"Oeiras do Pará (PA)","2021","95","94","1165","1079","1682.45","54999","2.3","2514.60"
"Oriximiná (PA)","2021","577","545","7195","6548","4828.05","320329","4.6","5103.65"
"Ourém (PA)","2021","127","127","967","844","763.49","19252","1.8","1939.68"
"Ourilândia do Norte (PA)","2021","371","369","3919","3626","4023.26","154377","2.7","2951.62"
"Pacajá (PA)","2021","349","348","3086","2674","4490.47","143326","2.2","2455.22"
"Palestina do Pará (PA)","2021","48","48","445","403","391.98","11923","2.1","2339.77"
"Paragominas (PA)","2021","2046","1960","23720","21239","17777.74","681145","2.7","2947.27"
"Parauapebas (PA)","2021","4818","4641","78100","73549","70332.27","3031260","3.0","3315.32"
"Pau D'Arco (PA)","2021","57","57","626","562","542.43","17273","2.2","2449.57"
"Peixe-Boi (PA)","2021","36","32","518","485","435.43","9866","1.6","1742.95"
"Piçarra (PA)","2021","135","132","1315","1189","1396.18","33836","1.7","1864.18"
"Placas (PA)","2021","122","119","1535","1402","1193.78","45214","2.6","2913.41"
"Ponta de Pedras (PA)","2021","73","69","1990","1931","1766.45","43311","1.7","1886.04"
"Portel (PA)","2021","422","418","5075","4648","3794.06","116846","2.2","2369.01"
"Porto de Moz (PA)","2021","150","149","2642","2480","2250.68","60972","1.9","2083.88"
"Prainha (PA)","2021","153","151","1796","1646","1567.50","49145","2.2","2411.75"
"Primavera (PA)","2021","62","60","1095","1039","984.12","29391","2.1","2297.35"
"Quatipuru (PA)","2021","34","33","681","654","643.14","16290","1.8","1948.33"
"Redenção (PA)","2021","2079","2021","16039","13810","13907.26","414196","2.1","2290.98"
"Rio Maria (PA)","2021","322","322","3092","2761","2675.57","72930","1.9","2096.74"
"Rondon do Pará (PA)","2021","451","449","3409","2985","2997.25","108445","2.5","2783.20"
"Rurópolis (PA)","2021","261","260","2606","2229","2235.99","72750","2.3","2502.78"
"Salinópolis (PA)","2021","614","590","5473","4851","4683.25","116103","1.7","1907.01"
"Salvaterra (PA)","2021","143","138","1573","1426","1301.07","32943","1.8","1947.71"
"Santa Bárbara do Pará (PA)","2021","124","121","2409","2272","2150.19","48170","1.6","1723.28"
"Santa Cruz do Arari (PA)","2021","28","27","485","473","451.84","11017","1.7","1875.52"
"Santa Izabel do Pará (PA)","2021","629","606","10705","10011","9614.17","232997","1.7","1864.21"
"Santa Luzia do Pará (PA)","2021","108","106","1221","1106","1027.33","30307","2.1","2269.30"
"Santa Maria das Barreiras (PA)","2021","251","237","2075","1815","1683.72","53560","2.2","2446.98"
"Santa Maria do Pará (PA)","2021","279","276","2354","2095","1888.74","40487","1.5","1648.94"
"Santana do Araguaia (PA)","2021","572","559","4997","4352","4319.94","146563","2.4","2609.78"
"Santarém (PA)","2021","5647","5227","49834","42898","42362.96","1300155","2.1","2360.83"
"Santarém Novo (PA)","2021","26","26","601","581","570.97","13836","1.7","1863.99"
"Santo Antônio do Tauá (PA)","2021","229","220","2531","2227","2087.43","58047","1.9","2139.05"
"São Caetano de Odivelas (PA)","2021","63","62","944","888","929.43","26711","2.0","2210.71"
"São Domingos do Araguaia (PA)","2021","183","180","1996","1814","1760.00","45171","1.8","1974.28"
"São Domingos do Capim (PA)","2021","116","115","2044","1937","1640.55","43948","1.9","2060.66"
"São Félix do Xingu (PA)","2021","636","623","5096","4444","4305.25","152594","2.5","2726.45"
"São Francisco do Pará (PA)","2021","104","103","1163","1057","1017.17","28714","2.0","2171.49"
"São Geraldo do Araguaia (PA)","2021","297","291","3448","3121","3042.82","84452","1.9","2134.97"
"São João da Ponta (PA)","2021","19","19","381","365","337.42","8067","1.7","1839.09"
"São João de Pirabas (PA)","2021","96","93","1553","1456","1400.67","32302","1.6","1774.00"
"São João do Araguaia (PA)","2021","42","42","809","774","770.27","22948","2.1","2291.75"
"São Miguel do Guamá (PA)","2021","430","418","6780","6317","5639.52","131573","1.6","1794.66"
"São Sebastião da Boa Vista (PA)","2021","108","103","1670","1585","1470.36","44598","2.1","2333.16"
"Sapucaia (PA)","2021","58","53","838","797","752.91","17711","1.6","1809.54"
"Senador José Porfírio (PA)","2021","120","119","1012","926","851.20","28222","2.3","2550.42"
"Soure (PA)","2021","202","197","1523","1315","1299.07","38128","2.1","2257.70"
"Tailândia (PA)","2021","798","784","13953","13113","12196.48","290419","1.7","1831.67"
"Terra Alta (PA)","2021","71","71","778","720","683.23","17156","1.8","1931.58"
"Terra Santa (PA)","2021","123","119","1590","1466","1416.74","44059","2.2","2392.22"
"Tomé-Açu (PA)","2021","811","785","10156","9340","8781.17","204525","1.6","1791.64"
