"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Campo Magro (PR)","2021","613","603","4308","3473","3394.60","111486","2.3","2526.33"
"Campo Mourão (PR)","2021","4674","4522","32633","26504","26321.24","955627","2.5","2792.79"
"Cândido de Abreu (PR)","2021","313","307","1625","1291","1273.85","36913","2.0","2229.03"
"Candói (PR)","2021","485","479","3056","2200","2203.59","68354","2.2","2386.11"
"Cantagalo (PR)","2021","280","277","1657","1314","1269.54","34720","1.9","2103.74"
"Capanema (PR)","2021","842","818","5611","4651","4628.95","140394","2.1","2333.05"
"Capitão Leônidas Marques (PR)","2021","757","746","3863","3069","3138.09","83523","1.9","2047.38"
"Carambeí (PR)","2021","878","847","9258","8184","8298.32","293159","2.5","2717.50"
"Carlópolis (PR)","2021","523","512","2760","2158","2090.03","50906","1.7","1873.60"
"Cascavel (PR)","2021","19847","19071","137344","110984","109988.02","3838758","2.4","2684.74"
"Castro (PR)","2021","2342","2263","18575","15973","15941.08","583203","2.6","2814.23"
"Catanduvas (PR)","2021","248","245","1331","1071","1060.05","32649","2.2","2369.21"
"Centenário do Sul (PR)","2021","307","305","1498","1127","1140.68","35245","2.2","2376.77"
"Cerro Azul (PR)","2021","303","300","1730","1371","1361.60","38886","2.0","2196.86"
"Céu Azul (PR)","2021","447","438","3195","2607","2615.49","81971","2.2","2410.81"
"Chopinzinho (PR)","2021","930","920","5676","4544","4265.36","137193","2.2","2474.20"
"Cianorte (PR)","2021","3979","3778","28493","23508","23753.13","703341","2.1","2277.73"
"Cidade Gaúcha (PR)","2021","422","417","3697","3168","3382.30","115678","2.4","2630.85"
"Clevelândia (PR)","2021","558","549","3223","2576","2464.37","73971","2.1","2308.93"
"Colombo (PR)","2021","7005","6779","46976","38135","37421.90","1284084","2.4","2639.52"
"Colorado (PR)","2021","1127","1116","8057","6734","6852.85","234095","2.4","2627.71"
"Congonhinhas (PR)","2021","165","157","1020","815","796.19","23053","2.0","2227.24"
"Conselheiro Mairinck (PR)","2021","84","84","432","345","334.10","10174","2.1","2342.48"
"Contenda (PR)","2021","436","430","2599","2088","2125.93","69065","2.3","2499.01"
"Corbélia (PR)","2021","773","760","3924","2917","2909.72","90146","2.2","2383.17"
"Cornélio Procópio (PR)","2021","2170","2107","20135","17267","16982.02","477599","2.0","2163.37"
"Coronel Domingos Soares (PR)","2021","157","157","1243","1077","1064.54","31846","2.1","2301.17"
"Coronel Vivida (PR)","2021","922","903","5485","4439","4371.00","138359","2.2","2434.92"
"Corumbataí do Sul (PR)","2021","71","71","491","421","412.33","11338","1.9","2115.27"
"Cruzeiro do Iguaçu (PR)","2021","120","119","896","741","719.67","20899","2.0","2233.79"
"Cruzeiro do Oeste (PR)","2021","622","605","4845","4168","4128.68","117464","2.0","2188.52"
"Cruzeiro do Sul (PR)","2021","119","119","525","401","412.73","12401","2.1","2311.34"
"Cruz Machado (PR)","2021","380","371","1911","1464","1454.38","42150","2.0","2229.36"
"Cruzmaltina (PR)","2021","74","73","420","349","338.93","10758","2.2","2441.66"
"Curitiba (PR)","2021","136036","130026","1051678","873110","868438.02","46208643","3.7","4092.99"
"Curiúva (PR)","2021","382","372","2285","1850","1560.23","53675","2.4","2646.33"
"Diamante do Norte (PR)","2021","143","143","737","593","568.00","17966","2.2","2433.03"
"Diamante do Sul (PR)","2021","51","51","357","285","281.23","7338","1.8","2007.10"
"Diamante D'Oeste (PR)","2021","93","91","557","475","473.62","13561","2.0","2202.45"
"Dois Vizinhos (PR)","2021","2492","2449","17744","14496","14308.39","459801","2.2","2471.93"
"Douradina (PR)","2021","310","299","3090","2730","2759.44","112134","2.8","3125.90"
"Doutor Camargo (PR)","2021","155","153","945","748","706.13","20010","2.0","2179.77"
"Enéas Marques (PR)","2021","197","194","1389","1164","1291.36","38130","2.1","2271.33"
"Engenheiro Beltrão (PR)","2021","476","463","2475","2006","1961.20","56665","2.0","2222.53"
"Esperança Nova (PR)","2021","42","41","331","285","288.36","8222","2.0","2193.24"
"Entre Rios do Oeste (PR)","2021","244","234","1343","1015","968.58","30545","2.2","2425.80"
"Espigão Alto do Iguaçu (PR)","2021","107","105","556","470","470.46","12139","1.8","1984.75"
"Farol (PR)","2021","46","45","377","328","315.53","10298","2.3","2510.47"
"Faxinal (PR)","2021","609","596","2824","2062","2044.23","62166","2.1","2339.27"
"Fazenda Rio Grande (PR)","2021","3160","3067","23691","19699","19018.35","677870","2.5","2741.76"
"Fênix (PR)","2021","89","89","765","654","611.34","16616","1.9","2090.70"
"Fernandes Pinheiro (PR)","2021","113","112","746","642","619.57","20763","2.3","2577.81"
"Figueira (PR)","2021","277","268","1397","1095","1083.23","32860","2.1","2333.50"
"Floraí (PR)","2021","163","161","994","795","826.74","22344","1.9","2078.94"
"Flor da Serra do Sul (PR)","2021","161","160","959","812","815.24","21419","1.8","2021.05"
"Floresta (PR)","2021","250","249","1351","1057","1004.34","29625","2.1","2268.96"
"Florestópolis (PR)","2021","290","289","3296","2960","3024.77","90821","2.1","2309.67"
"Flórida (PR)","2021","98","98","512","408","382.79","12379","2.3","2487.63"
"Formosa do Oeste (PR)","2021","214","209","1283","1020","1086.45","31724","2.0","2246.16"
"Foz do Iguaçu (PR)","2021","12394","11870","79501","62630","60758.51","2360578","2.7","2988.60"
"Francisco Alves (PR)","2021","183","183","989","774","789.68","20418","1.8","1988.90"
"Francisco Beltrão (PR)","2021","6006","5857","35496","27181","26890.45","887148","2.3","2537.79"
"Foz do Jordão (PR)","2021","87","85","954","868","760.64","16022","1.5","1620.32"
"General Carneiro (PR)","2021","420","412","2155","1702","1676.70","46312","1.9","2124.70"
"Godoy Moreira (PR)","2021","56","55","366","285","283.53","8483","2.1","2301.57"
"Goioerê (PR)","2021","1115","1090","6321","5005","4947.60","153114","2.2","2380.55"
"Goioxim (PR)","2021","69","68","637","569","568.29","16358","2.0","2214.25"
"Grandes Rios (PR)","2021","152","150","748","597","594.97","15328","1.8","1981.71"
"Guaíra (PR)","2021","1048","1019","6125","4897","4886.95","153432","2.2","2415.09"
"Guairaçá (PR)","2021","135","134","919","757","772.31","24898","2.3","2479.92"
"Guamiranga (PR)","2021","229","227","1121","862","793.30","21070","1.9","2043.11"
"Guapirama (PR)","2021","157","155","788","585","577.45","16509","2.0","2199.25"
"Guaporema (PR)","2021","59","59","367","290","288.18","8585","2.1","2291.61"
"Guaraci (PR)","2021","142","141","826","664","689.59","19974","2.0","2228.05"
"Guaraniaçu (PR)","2021","572","563","2605","2052","2064.79","57705","2.0","2149.80"
"Guarapuava (PR)","2021","6926","6601","52830","43930","43358.00","1600287","2.6","2839.13"
"Guaraqueçaba (PR)","2021","82","75","704","635","558.17","15214","1.9","2096.71"
"Guaratuba (PR)","2021","1688","1640","8647","6741","6009.38","194442","2.3","2488.95"
"Honório Serpa (PR)","2021","95","91","733","637","613.21","20630","2.4","2587.88"
"Ibaiti (PR)","2021","1363","1327","7753","6303","6311.57","163268","1.8","1989.85"
"Ibema (PR)","2021","167","167","1227","1079","1068.20","30529","2.0","2198.47"
"Ibiporã (PR)","2021","1822","1776","15964","13775","13695.89","463887","2.4","2605.43"
"Icaraíma (PR)","2021","272","268","1329","1015","1010.19","31075","2.2","2366.30"
"Iguaraçu (PR)","2021","253","252","1784","1456","1370.02","38884","2.0","2183.23"
"Iguatu (PR)","2021","55","54","348","287","282.54","8443","2.1","2298.63"
"Imbaú (PR)","2021","242","238","1566","1315","1390.13","39741","2.0","2199.10"
"Imbituva (PR)","2021","940","920","9103","7953","7787.07","203787","1.8","2013.08"
"Inácio Martins (PR)","2021","297","290","1898","1620","1563.72","40587","1.8","1996.55"
"Inajá (PR)","2021","61","60","309","253","249.69","7814","2.2","2407.38"
"Indianópolis (PR)","2021","127","126","1457","1299","1257.69","41969","2.3","2566.92"
"Ipiranga (PR)","2021","287","279","2054","1752","1686.78","49973","2.1","2278.96"
"Iporã (PR)","2021","583","581","3072","2341","2227.53","67032","2.1","2314.82"
"Iracema do Oeste (PR)","2021","50","48","408","351","340.64","10979","2.3","2479.24"
"Irati (PR)","2021","2249","2173","14669","11902","11781.07","364223","2.2","2378.15"
"Iretama (PR)","2021","210","208","1644","1422","1321.44","45549","2.4","2651.50"
"Itaguajé (PR)","2021","118","117","549","418","422.09","13116","2.2","2390.37"
"Itaipulândia (PR)","2021","372","363","3345","2839","3067.76","80526","1.8","2019.16"
"Itambaracá (PR)","2021","158","156","837","640","797.25","22737","2.0","2193.83"
"Itambé (PR)","2021","171","171","1034","795","799.73","22603","2.0","2174.07"
"Itapejara d'Oeste (PR)","2021","558","552","4045","3383","3319.27","97639","2.1","2262.75"
"Itaperuçu (PR)","2021","898","891","4190","3118","2934.15","74148","1.8","1943.89"
"Itaúna do Sul (PR)","2021","84","84","486","416","427.39","12580","2.1","2264.12"
"Ivaí (PR)","2021","304","300","1917","1605","1550.08","39898","1.8","1979.97"
"Ivaiporã (PR)","2021","1487","1454","7823","5902","5779.64","160276","1.9","2133.16"
"Ivaté (PR)","2021","178","176","1751","1563","1793.51","62233","2.4","2669.16"
"Ivatuba (PR)","2021","52","52","822","765","795.92","22535","2.0","2177.98"
"Jaboti (PR)","2021","176","175","754","564","524.34","14166","1.9","2078.18"
"Jacarezinho (PR)","2021","1246","1207","11717","10226","10077.87","337936","2.3","2579.43"
"Jaguapitã (PR)","2021","468","457","7319","6741","6791.60","206512","2.1","2339.00"
"Jaguariaíva (PR)","2021","1229","1179","10490","9180","9210.60","303360","2.3","2533.54"
"Jandaia do Sul (PR)","2021","1287","1264","7505","5822","6163.94","170031","1.9","2121.90"
"Janiópolis (PR)","2021","144","144","752","607","616.96","19441","2.2","2423.88"
"Japira (PR)","2021","125","123","592","473","470.47","12378","1.8","2023.79"
"Japurá (PR)","2021","308","300","2620","2213","2168.57","66498","2.1","2358.81"
"Jardim Alegre (PR)","2021","393","389","2128","1567","1521.33","44844","2.1","2267.46"
"Jardim Olinda (PR)","2021","33","33","354","326","325.67","9031","1.9","2133.13"
"Jataizinho (PR)","2021","307","302","1707","1336","1319.20","40142","2.1","2340.69"
"Jesuítas (PR)","2021","266","257","1685","1352","1309.04","39298","2.1","2309.28"
"Joaquim Távora (PR)","2021","429","417","5674","5154","5193.29","141625","1.9","2097.76"
"Jundiaí do Sul (PR)","2021","88","84","337","255","256.01","8681","2.4","2608.44"
"Juranda (PR)","2021","239","233","1371","1064","1048.98","29548","2.0","2166.77"
"Jussara (PR)","2021","196","192","2640","2396","2544.67","92412","2.5","2793.53"
"Kaloré (PR)","2021","149","147","858","682","681.43","16317","1.7","1841.95"
"Lapa (PR)","2021","1313","1241","10670","9087","9428.80","295875","2.2","2413.84"
"Laranjal (PR)","2021","95","92","522","458","458.70","11410","1.7","1913.40"
"Laranjeiras do Sul (PR)","2021","1213","1178","7237","5815","5776.21","164214","2.0","2186.87"
"Leópolis (PR)","2021","85","82","445","355","355.48","12094","2.4","2617.11"
"Lidianópolis (PR)","2021","112","111","534","421","430.56","13062","2.1","2333.61"
"Lindoeste (PR)","2021","118","116","859","744","721.60","23833","2.3","2540.63"
"Loanda (PR)","2021","1043","1027","6695","5563","5458.57","144590","1.9","2037.59"
"Lobato (PR)","2021","181","181","935","740","723.19","24200","2.3","2574.12"
"Londrina (PR)","2021","34126","32775","206834","157234","155049.01","6108182","2.8","3030.40"
"Luiziana (PR)","2021","166","152","1046","903","897.75","29010","2.3","2485.73"
"Lunardelli (PR)","2021","144","143","685","444","443.55","12368","1.9","2144.87"
"Lupionópolis (PR)","2021","165","157","915","746","729.51","20723","2.0","2185.14"
"Mallet (PR)","2021","489","463","3641","3017","2928.08","92725","2.2","2435.96"
"Mamborê (PR)","2021","429","422","2243","1699","1688.41","53670","2.2","2445.16"
"Mandaguaçu (PR)","2021","1123","1112","5746","4403","4332.36","127580","2.1","2265.24"
"Mandaguari (PR)","2021","1621","1577","14900","12694","12186.99","411905","2.4","2599.91"
"Mandirituba (PR)","2021","928","911","5806","4505","4719.36","142668","2.1","2325.41"
"Manfrinópolis (PR)","2021","53","52","509","462","441.54","12314","2.0","2145.33"
"Mangueirinha (PR)","2021","477","462","3395","2881","2811.41","89526","2.2","2449.51"
"Manoel Ribas (PR)","2021","367","361","2230","1827","1771.92","56234","2.2","2441.23"
"Marechal Cândido Rondon (PR)","2021","2808","2711","20282","17136","16900.86","597842","2.5","2721.04"
"Maria Helena (PR)","2021","110","108","690","585","589.77","15308","1.8","1996.55"
"Marialva (PR)","2021","1888","1853","11521","9079","9040.69","303215","2.3","2579.92"
"Marilândia do Sul (PR)","2021","215","211","1254","999","1019.51","30926","2.1","2333.41"
"Marilena (PR)","2021","157","153","1376","1209","1256.38","28610","1.6","1751.70"
"Mariluz (PR)","2021","207","202","1135","843","832.60","24881","2.1","2298.69"
"Maringá (PR)","2021","32881","31626","210141","165290","162845.83","6179428","2.7","2918.96"
"Mariópolis (PR)","2021","258","246","1497","1225","1176.29","41725","2.5","2728.57"
"Maripá (PR)","2021","274","265","1362","1184","1162.58","42025","2.5","2780.62"
"Marmeleiro (PR)","2021","881","871","4038","2909","2971.68","94040","2.2","2434.26"
"Marquinho (PR)","2021","71","70","532","469","390.57","11898","2.1","2343.36"
"Marumbi (PR)","2021","172","170","942","709","853.05","18170","1.5","1638.48"
"Matelândia (PR)","2021","624","611","12642","12067","11126.03","300537","1.9","2077.85"
"Matinhos (PR)","2021","1807","1768","9409","6780","6096.82","170629","2.0","2152.81"
"Mato Rico (PR)","2021","63","63","416","347","357.81","10348","2.0","2224.65"
"Mauá da Serra (PR)","2021","328","324","2377","1970","1977.14","58273","2.1","2267.20"
"Medianeira (PR)","2021","2531","2467","23386","20058","19113.72","686598","2.5","2763.21"
"Mercedes (PR)","2021","181","180","1273","1077","1046.79","36137","2.4","2655.54"
"Mirador (PR)","2021","24","24","417","398","395.39","12276","2.2","2388.24"
"Miraselva (PR)","2021","29","29","220","194","184.58","6680","2.5","2783.79"
"Missal (PR)","2021","587","575","2322","1707","1731.59","59445","2.4","2640.76"
"Moreira Sales (PR)","2021","244","241","1633","1329","1298.46","39338","2.1","2330.46"
"Morretes (PR)","2021","443","427","2819","2320","2288.18","64307","2.0","2161.86"
"Munhoz de Melo (PR)","2021","118","116","633","497","492.29","14138","2.0","2209.08"
"Nossa Senhora das Graças (PR)","2021","70","68","408","324","328.12","9571","2.0","2243.79"
"Nova Aliança do Ivaí (PR)","2021","30","30","256","225","214.69","6440","2.1","2307.49"
"Nova América da Colina (PR)","2021","70","69","505","411","427.27","13665","2.2","2460.10"
"Nova Aurora (PR)","2021","514","495","4146","3460","3424.31","95896","2.0","2154.18"
"Nova Cantu (PR)","2021","126","124","839","688","667.94","19078","2.0","2197.06"
"Nova Esperança (PR)","2021","1086","1077","6404","5018","4899.08","143180","2.0","2248.14"
"Nova Esperança do Sudoeste (PR)","2021","209","207","1231","964","978.59","26929","1.9","2116.81"
"Nova Fátima (PR)","2021","199","192","1290","1067","1054.90","31736","2.1","2314.17"
"Nova Laranjeiras (PR)","2021","191","188","924","766","763.28","24727","2.3","2491.97"
"Nova Londrina (PR)","2021","565","558","4133","3470","3641.29","111126","2.1","2347.56"
"Nova Olímpia (PR)","2021","192","191","1167","1000","1006.68","25039","1.7","1913.31"
"Nova Santa Bárbara (PR)","2021","118","114","508","391","403.00","12073","2.1","2304.42"
"Nova Santa Rosa (PR)","2021","389","380","2177","1713","1701.79","55469","2.3","2507.28"
"Nova Prata do Iguaçu (PR)","2021","489","484","2788","1828","1754.53","49620","2.0","2175.47"
"Nova Tebas (PR)","2021","148","146","758","640","632.71","17518","1.9","2129.76"
"Novo Itacolomi (PR)","2021","85","85","658","574","551.71","15794","2.0","2202.07"
"Ortigueira (PR)","2021","518","514","8233","7752","9063.24","449260","3.5","3813.04"
"Ourizona (PR)","2021","107","106","461","358","349.38","11426","2.3","2515.63"
"Ouro Verde do Oeste (PR)","2021","147","143","934","792","751.19","24585","2.3","2517.56"
"Paiçandu (PR)","2021","1002","984","8081","6762","6531.76","178003","1.9","2096.30"
"Palmas (PR)","2021","1294","1252","12726","11344","11262.72","334307","2.1","2283.28"
"Palmeira (PR)","2021","1285","1258","9171","7500","7386.84","242445","2.3","2524.71"
"Palmital (PR)","2021","412","408","1757","1382","1335.39","36982","1.9","2130.28"
"Palotina (PR)","2021","1765","1692","18788","16540","16540.59","551553","2.3","2565.03"
"Paraíso do Norte (PR)","2021","361","354","5155","4705","4983.05","148900","2.1","2298.56"
"Paranacity (PR)","2021","276","274","2410","2097","2254.01","78642","2.4","2683.83"
"Paranaguá (PR)","2021","4671","4392","43860","38846","38304.71","1598492","2.9","3210.07"
"Paranapoema (PR)","2021","58","57","726","642","586.83","15097","1.8","1978.98"
"Paranavaí (PR)","2021","4208","4085","26628","21591","21368.67","667872","2.2","2404.21"
"Pato Bragado (PR)","2021","294","293","1663","1300","1317.21","41431","2.2","2419.50"
"Pato Branco (PR)","2021","5641","5475","38629","31824","32099.00","1161559","2.5","2783.60"
"Paula Freitas (PR)","2021","191","189","1091","901","912.20","26288","2.0","2216.76"
"Paulo Frontin (PR)","2021","233","230","924","656","651.92","19798","2.1","2336.03"
"Peabiru (PR)","2021","494","482","2149","1558","1573.23","49176","2.2","2404.46"
"Perobal (PR)","2021","207","206","1072","854","875.25","25628","2.0","2252.33"
"Pérola (PR)","2021","458","448","2653","2105","2076.25","51878","1.7","1922.04"
"Pérola d'Oeste (PR)","2021","401","395","1207","824","812.89","23616","2.0","2234.78"
"Piên (PR)","2021","386","379","3443","3067","2855.07","106167","2.6","2860.43"
"Pinhais (PR)","2021","6557","6393","51097","42697","42316.83","1537392","2.5","2794.65"
"Pinhalão (PR)","2021","179","172","779","601","579.06","16482","2.0","2189.46"
"Pinhal de São Bento (PR)","2021","68","67","414","335","383.26","10453","1.9","2098.03"
"Pinhão (PR)","2021","590","573","3677","3031","2961.76","92823","2.2","2410.81"
"Piraí do Sul (PR)","2021","563","551","3948","3268","3310.56","124025","2.6","2881.80"
"Piraquara (PR)","2021","1703","1672","10552","8655","8604.55","296177","2.4","2647.77"
"Pitanga (PR)","2021","1135","1103","6938","5395","5285.07","156416","2.1","2276.60"
"Pitangueiras (PR)","2021","96","95","482","391","358.48","11416","2.2","2449.73"
"Planaltina do Paraná (PR)","2021","178","178","809","641","655.14","18516","2.0","2174.09"
"Planalto (PR)","2021","504","496","2569","2006","2011.60","61507","2.1","2351.99"
"Ponta Grossa (PR)","2021","15517","14801","111386","91995","93542.62","3461696","2.6","2846.66"
"Pontal do Paraná (PR)","2021","1198","1141","5522","4238","3865.67","118568","2.1","2359.40"
"Porecatu (PR)","2021","353","346","2166","1758","2100.68","50805","1.7","1860.37"
"Porto Amazonas (PR)","2021","149","140","1128","956","881.27","28305","2.2","2470.62"
"Porto Barreiro (PR)","2021","45","45","342","292","290.11","10892","2.6","2888.10"
"Porto Rico (PR)","2021","176","176","791","602","568.89","18802","2.3","2542.28"
"Porto Vitória (PR)","2021","115","112","724","575","579.85","15619","1.9","2071.98"
"Prado Ferreira (PR)","2021","131","130","1297","1143","1046.39","31749","2.1","2333.92"
"Pranchita (PR)","2021","292","289","1612","1239","1233.36","36117","2.0","2252.57"
"Presidente Castelo Branco (PR)","2021","148","147","754","603","604.47","17796","2.1","2264.63"
"Primeiro de Maio (PR)","2021","288","284","1786","1355","1278.14","44170","2.4","2658.30"
"Prudentópolis (PR)","2021","1520","1452","9140","7468","7405.87","206198","1.9","2141.74"
"Quarto Centenário (PR)","2021","119","114","763","649","623.52","20731","2.3","2557.61"
"Quatiguá (PR)","2021","296","292","1786","1411","1467.80","40056","1.9","2099.22"
"Quatro Barras (PR)","2021","866","849","9878","8834","8697.65","411315","3.3","3637.72"
"Quatro Pontes (PR)","2021","260","259","1243","921","946.63","33504","2.5","2722.55"
"Quedas do Iguaçu (PR)","2021","1207","1185","7124","5613","5676.40","164666","2.0","2231.46"
"Querência do Norte (PR)","2021","217","215","1364","1106","1071.66","33517","2.2","2405.82"
"Quinta do Sol (PR)","2021","125","124","655","513","521.57","15140","2.0","2232.89"
"Quitandinha (PR)","2021","365","362","2130","1646","1593.00","50255","2.2","2426.71"
"Ramilândia (PR)","2021","68","66","389","334","315.41","10309","2.3","2514.10"
"Rancho Alegre (PR)","2021","101","101","394","293","295.62","9260","2.2","2409.66"
"Rancho Alegre D'Oeste (PR)","2021","60","60","412","350","349.23","12975","2.6","2857.90"
"Realeza (PR)","2021","1178","1157","5321","3708","3860.57","109090","2.0","2173.65"
"Rebouças (PR)","2021","443","437","2369","1969","1955.37","52620","1.9","2070.03"
"Renascença (PR)","2021","290","286","1481","1122","1150.26","35973","2.2","2405.67"
"Reserva (PR)","2021","911","892","4223","3317","3195.95","88918","1.9","2140.15"
"Reserva do Iguaçu (PR)","2021","113","113","969","827","804.80","23742","2.1","2269.23"
"Ribeirão Claro (PR)","2021","397","388","2616","2178","2252.50","68386","2.1","2335.39"
"Ribeirão do Pinhal (PR)","2021","371","365","1606","1271","1249.78","34931","2.0","2150.00"
"Rio Azul (PR)","2021","397","370","2320","1885","1939.86","65285","2.4","2588.81"
"Rio Bom (PR)","2021","70","68","518","453","489.72","11912","1.7","1871.08"
"Rio Bonito do Iguaçu (PR)","2021","298","291","1400","1090","1110.78","31372","2.0","2172.59"
"Rio Branco do Ivaí (PR)","2021","93","90","506","404","398.02","11867","2.1","2293.46"
"Rio Branco do Sul (PR)","2021","866","850","6615","5591","5487.67","184688","2.4","2588.86"
"Rio Negro (PR)","2021","1231","1193","9006","7672","8000.58","280736","2.5","2699.19"
"Rolândia (PR)","2021","2993","2900","25893","21692","21875.53","712124","2.3","2504.11"
"Roncador (PR)","2021","321","314","1586","1241","1223.21","38274","2.2","2406.90"
"Rondon (PR)","2021","349","345","3290","2788","2976.61","90490","2.1","2338.48"
"Rosário do Ivaí (PR)","2021","142","138","656","543","551.12","13902","1.8","1940.36"
"Sabáudia (PR)","2021","578","573","5014","4140","4141.67","115010","1.9","2136.08"
"Salgado Filho (PR)","2021","113","113","856","714","724.90","17652","1.7","1873.15"
"Salto do Itararé (PR)","2021","97","90","609","520","503.56","11626","1.6","1776.04"
"Salto do Lontra (PR)","2021","585","577","3410","2672","2689.63","64197","1.7","1836.03"
"Santa Amélia (PR)","2021","94","93","441","341","356.47","10319","2.0","2226.70"
"Santa Cecília do Pavão (PR)","2021","100","100","518","412","411.92","11900","2.0","2222.18"
"Santa Cruz de Monte Castelo (PR)","2021","307","305","1333","922","912.50","25362","1.9","2138.02"
"Santa Fé (PR)","2021","492","485","2800","2359","2333.49","61188","1.8","2017.06"
"Santa Helena (PR)","2021","1006","974","6624","5361","5151.83","173269","2.4","2587.12"
"Santa Inês (PR)","2021","33","33","246","217","212.33","6916","2.3","2505.65"
"Santa Isabel do Ivaí (PR)","2021","222","218","1505","1201","1188.25","33844","2.0","2190.92"
"Santa Izabel do Oeste (PR)","2021","396","390","2692","2150","2172.68","61540","2.0","2178.82"
"Santa Lúcia (PR)","2021","102","102","685","561","582.13","15534","1.9","2052.73"
"Santa Maria do Oeste (PR)","2021","195","194","937","766","731.75","22904","2.2","2407.67"
"Santa Mariana (PR)","2021","359","353","1608","1176","1177.06","36220","2.2","2367.02"
"Santa Mônica (PR)","2021","76","76","587","510","514.11","12965","1.8","1939.89"
"Santana do Itararé (PR)","2021","99","96","671","582","541.07","14292","1.8","2031.90"
"Santa Tereza do Oeste (PR)","2021","532","530","3215","2557","2526.85","80882","2.2","2462.22"
"Santa Terezinha de Itaipu (PR)","2021","757","747","4185","3391","3407.17","99714","2.0","2251.22"
"Santo Antônio da Platina (PR)","2021","2020","1953","11917","9533","9125.82","253771","1.9","2139.08"
"Santo Antônio do Caiuá (PR)","2021","49","46","397","349","344.17","9069","1.8","2027.06"
"Santo Antônio do Paraíso (PR)","2021","74","72","421","334","330.81","9447","2.0","2196.78"
"Santo Antônio do Sudoeste (PR)","2021","715","690","4923","4016","3930.53","103031","1.8","2016.38"
"Santo Inácio (PR)","2021","206","204","4465","4240","4396.90","151752","2.4","2654.88"
"São Carlos do Ivaí (PR)","2021","255","252","1949","1649","1726.42","58621","2.4","2611.92"
"São Jerônimo da Serra (PR)","2021","233","231","994","764","745.60","23128","2.2","2386.11"
"São João (PR)","2021","605","587","4933","4147","3796.72","77086","1.4","1561.80"
"São João do Caiuá (PR)","2021","129","126","668","507","502.61","14400","2.0","2203.95"
"São João do Ivaí (PR)","2021","292","289","1688","1313","1307.69","35532","1.9","2090.11"
"São João do Triunfo (PR)","2021","239","233","1199","960","961.24","33331","2.4","2667.30"
"São Jorge d'Oeste (PR)","2021","468","461","2629","2061","2036.10","62582","2.1","2364.31"
"São Jorge do Ivaí (PR)","2021","176","174","1063","832","817.09","26090","2.2","2456.17"
"São Jorge do Patrocínio (PR)","2021","188","186","1240","982","958.06","26452","1.9","2123.86"
"São José da Boa Vista (PR)","2021","137","131","804","677","647.83","16670","1.8","1979.37"
"São José das Palmeiras (PR)","2021","122","121","542","396","384.53","11653","2.1","2331.03"
"São José dos Pinhais (PR)","2021","13278","12750","119117","102502","101670.08","4653902","3.2","3521.12"
"São Manoel do Paraná (PR)","2021","62","62","613","547","544.93","15134","1.9","2136.33"
"São Mateus do Sul (PR)","2021","1382","1317","10279","8678","8221.41","287736","2.4","2692.19"
"São Miguel do Iguaçu (PR)","2021","1121","1099","7910","6316","6568.09","191878","2.0","2247.20"
"São Pedro do Iguaçu (PR)","2021","151","146","717","567","557.91","17858","2.2","2462.18"
"São Pedro do Ivaí (PR)","2021","341","340","2257","1857","1898.92","58252","2.1","2359.73"
"São Pedro do Paraná (PR)","2021","87","85","785","690","600.70","18584","2.2","2379.84"
"São Sebastião da Amoreira (PR)","2021","203","195","1285","1042","996.93","24285","1.7","1873.83"
"São Tomé (PR)","2021","126","124","992","838","850.77","21560","1.8","1949.33"
"Sapopema (PR)","2021","116","110","1072","944","814.11","22183","1.9","2096.01"
"Sarandi (PR)","2021","2938","2872","18400","14720","14463.13","458382","2.2","2437.93"
"Saudade do Iguaçu (PR)","2021","198","197","1286","1091","1049.68","40953","2.7","3001.15"
"Sengés (PR)","2021","462","452","5404","4949","4819.18","144073","2.1","2299.67"
"Serranópolis do Iguaçu (PR)","2021","180","177","776","640","642.66","21986","2.4","2631.63"
"Sertaneja (PR)","2021","214","209","1080","841","851.89","28788","2.4","2599.49"
"Sertanópolis (PR)","2021","842","830","4841","3715","3645.98","109943","2.1","2319.59"
"Siqueira Campos (PR)","2021","878","848","7408","6429","6636.14","152836","1.6","1771.60"
"Sulina (PR)","2021","96","93","522","417","417.06","14263","2.4","2630.62"
"Tamarana (PR)","2021","295","278","1899","1505","1509.16","49902","2.3","2543.54"
"Tamboara (PR)","2021","186","185","923","688","679.77","23499","2.4","2659.14"
"Tapejara (PR)","2021","547","533","4995","4266","4530.64","159524","2.5","2708.47"
"Tapira (PR)","2021","167","167","894","747","720.25","20460","2.0","2185.17"
"Teixeira Soares (PR)","2021","275","270","1651","1381","1347.48","41333","2.1","2359.54"
"Telêmaco Borba (PR)","2021","2375","2322","23299","20562","20400.12","854691","2.9","3222.80"
"Terra Boa (PR)","2021","581","568","5154","4513","4621.25","116481","1.8","1938.88"
"Terra Rica (PR)","2021","361","357","2818","2320","2467.57","79744","2.3","2485.92"
